Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/20/2020 12:12:18,7 / 10,22,N,Bakalaureusekraad,Ei,Ei,Pigem ei,40%,Pigem ei,70%,Pigem jah,60%,Pigem ei,60%,Pigem parempoolne,20%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem vasakpoolne,80%,Pigem ei,30%,Pigem ei,20%
4/20/2020 14:15:18,8 / 10,33,M,MSc,Ei,Ei,Pigem jah,70%,Pigem jah,60%,Pigem ei,40%,Pigem ei,50%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem parempoolne,50%,Pigem vasakpoolne,70%,Pigem jah,50%,Pigem ei,60%
4/20/2020 14:30:29,6 / 10,22,M,Põhiharidus,Ei,Ei,Pigem ei,50%,Kindlasti mitte,30%,Kindlasti mitte,30%,Kindlasti mitte,40%,Pigem parempoolne,50%,Kindlasti parempoolne,70%,Kindlasti parempoolne,30%,Kindlasti parempoolne,40%,"Jah, kindlasti",50%,Kindlasti mitte,50%
4/20/2020 14:37:11,5 / 10,29,M,PhD,Ei,Ei,Kindlasti mitte,10%,Pigem ei,50%,Kindlasti mitte,70%,Pigem jah,80%,Kindlasti parempoolne,20%,Pigem parempoolne,60%,Pigem parempoolne,40%,Kindlasti vasakpoolne,60%,Pigem ei,70%,Kindlasti mitte,10%
4/20/2020 15:46:34,6 / 10,34,N,PhD,Ei,Ei,Pigem jah,70%,Pigem ei,50%,Pigem ei,30%,Pigem ei,70%,Pigem parempoolne,40%,Pigem vasakpoolne,50%,Pigem vasakpoolne,60%,Kindlasti vasakpoolne,80%,Pigem jah,70%,Kindlasti mitte,0%
4/20/2020 20:14:52,7 / 10,42,M,Bakalaureusekraad,Ei,Ei,"Jah, kindlasti",100%,"Jah, kindlasti",100%,"Jah, kindlasti",100%,"Jah, kindlasti",100%,Kindlasti vasakpoolne,100%,Kindlasti parempoolne,100%,Kindlasti vasakpoolne,100%,Kindlasti vasakpoolne,100%,"Jah, kindlasti",100%,Kindlasti mitte,100%
4/20/2020 21:11:44,4 / 10,56,N,MSc,Ei,Ei,Pigem ei,50%,Pigem jah,60%,Pigem ei,30%,Pigem jah,60%,Kindlasti parempoolne,30%,Kindlasti vasakpoolne,60%,Pigem parempoolne,50%,Pigem vasakpoolne,60%,Pigem jah,50%,Pigem ei,30%
4/20/2020 22:07:16,6 / 10,36,N,Keskharidus,Ei,Ei,Pigem ei,50%,Pigem ei,50%,Pigem ei,50%,Pigem ei,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem ei,50%,Pigem ei,50%
4/21/2020 1:13:59,5 / 10,27,N,Bakalaureusekraad,Jah,Ei,Pigem ei,40%,Pigem ei,40%,Pigem ei,60%,Pigem jah,50%,Pigem parempoolne,70%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem jah,50%,Pigem ei,50%
4/21/2020 9:58:14,8 / 10,40,M,Bakalaureusekraad,Ei,Ei,Pigem jah,50%,Pigem ei,50%,Pigem jah,50%,Pigem ei,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem jah,50%,Pigem ei,50%
4/21/2020 11:53:14,7 / 10,40,M,Keskharidus,Ei,Ei,Pigem ei,50%,Pigem ei,50%,Pigem jah,50%,Pigem ei,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem jah,50%,Pigem ei,50%
4/21/2020 14:12:45,5 / 10,39,M,Bakalaureusekraad,Ei,Ei,Pigem jah,80%,Pigem jah,80%,Pigem jah,80%,Pigem jah,80%,Pigem parempoolne,30%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem jah,70%,Pigem ei,20%
4/21/2020 14:38:04,4 / 10,33,M,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,60%,Pigem ei,30%,Ma ei tea,50%,Ma ei tea,50%,Pigem vasakpoolne,60%,Ma ei tea,50%,Pigem vasakpoolne,50%,Ma ei tea,50%,Kindlasti mitte,30%
4/21/2020 16:46:43,4 / 10,47,M,MSc,Ei,Ei,Pigem ei,40%,Pigem jah,60%,Pigem jah,60%,Pigem ei,50%,Pigem parempoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,60%,Pigem parempoolne,40%,Pigem ei,40%,Pigem ei,40%
4/21/2020 17:52:02,5 / 10,44,M,Keskharidus,Jah,Ei,Pigem jah,90%,Pigem ei,90%,Pigem ei,90%,Pigem jah,90%,Pigem parempoolne,30%,Kindlasti parempoolne,50%,Kindlasti parempoolne,100%,Kindlasti parempoolne,100%,Ma ei tea,50%,Pigem ei,50%
4/21/2020 20:30:37,2 / 10,28,N,MSc,Ei,Ei,Pigem ei,30%,Pigem ei,70%,Pigem ei,70%,Pigem jah,90%,Pigem parempoolne,50%,Ma ei tea,50%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Ma ei tea,80%,Pigem ei,50%
