Timestamp,Score,Teie vanus,Teie sugu,Kõrgeim omandatud haridustase,Kas te olete kunagi õppinud või töötanud tehisintellekti valdkonnas?,Kas olete sarnast testi varem teinud?,"Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]","Kas see on päris inimene, mitte tehisvõrgu poolt genereeritud pilt?","Kui paljud seda testi tegevad inimesed teie arvates vastavad, et see oli päris inimene? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kumb neist on päris inimene?,"Kui paljud inimesed teie arvates vastavad, et vasakpoolsel pildil oli päris inimene ja parempoolne pilt oli tehisintellekti poolt loodud? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]",Kas see teos on inimese loodud?,"Kui paljud inimesed teie arvates vastavad, et selle teose on loonud inimene? [Ma ütleks...]"
4/17/2020 12:39:56,5 / 10,43,N,BSc,Ei,Ei,Pigem ei,80%,Pigem ei,70%,Ma ei tea,50%,Pigem jah,60%,Pigem vasakpoolne,50%,Pigem vasakpoolne,50%,Pigem parempoolne,70%,Pigem parempoolne,70%,Pigem jah,50%,Pigem jah,50%
4/17/2020 13:49:56,6 / 10,31,M,MSc,Ei,Ei,Pigem jah,90%,Ma ei tea,80%,Pigem ei,50%,"Jah, kindlasti",90%,Pigem vasakpoolne,80%,Pigem vasakpoolne,80%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem ei,90%,Pigem jah,80%
4/17/2020 14:27:17,8 / 10,31,M,MSc,Jah,Jah,Pigem ei,40%,Pigem ei,50%,Kindlasti mitte,20%,"Jah, kindlasti",80%,Kindlasti vasakpoolne,80%,Kindlasti parempoolne,40%,Kindalsti parempoolne,10%,Kindlasti parempoolne,20%,Kindlasti mitte,20%,Pigem jah,60%
4/20/2020 0:08:15,6 / 10,51,M,MSc,Ei,Ei,Pigem ei,30%,Pigem jah,30%,"Jah, kindlasti",30%,Kindlasti mitte,30%,Pigem vasakpoolne,30%,Pigem parempoolne,30%,Kindalsti parempoolne,80%,Pigem vasakpoolne,30%,Pigem ei,30%,"Jah, kindlasti",60%
4/20/2020 16:21:08,6 / 10,48,M,BSc,Ei,Ei,Pigem jah,70%,Pigem jah,70%,Pigem ei,50%,Pigem jah,70%,Pigem parempoolne,70%,Pigem parempoolne,60%,Pigem parempoolne,50%,Ma ei tea,50%,Ma ei tea,50%,Pigem jah,60%
4/20/2020 17:25:29,5 / 10,55,N,MSc,Ei,Ei,Pigem jah,60%,Pigem jah,60%,Pigem jah,60%,Pigem jah,60%,Pigem parempoolne,50%,Pigem vasakpoolne,40%,Pigem parempoolne,40%,Pigem parempoolne,60%,Pigem ei,40%,Pigem jah,60%
4/20/2020 18:21:15,8 / 10,56,N,MSc,Ei,Ei,Pigem jah,80%,Pigem ei,50%,Pigem ei,30%,Pigem jah,60%,Pigem vasakpoolne,60%,Pigem vasakpoolne,40%,Pigem parempoolne,50%,Pigem parempoolne,50%,Pigem ei,30%,Pigem jah,40%
4/21/2020 0:15:03,6 / 10,49,M,Keskharidus,Ei,Ei,"Jah, kindlasti",90%,Pigem ei,70%,Pigem ei,50%,Pigem jah,100%,Kindlasti vasakpoolne,90%,Kindlasti vasakpoolne,100%,Pigem vasakpoolne,100%,Pigem parempoolne,90%,Pigem jah,90%,Pigem jah,100%
4/21/2020 13:14:42,5 / 10,20,N,Keskharidus,Ei,Ei,Pigem ei,50%,Kindlasti mitte,40%,Pigem ei,50%,Pigem ei,50%,Kindlasti parempoolne,30%,Pigem vasakpoolne,50%,Pigem parempoolne,50%,Pigem parempoolne,40%,Pigem ei,40%,Pigem jah,70%
4/21/2020 13:23:42,5 / 10,59,M,PhD,Ei,Ei,Ma ei tea,50%,Pigem ei,50%,Pigem jah,70%,Pigem jah,60%,Pigem vasakpoolne,60%,Pigem vasakpoolne,50%,Pigem parempoolne,40%,Pigem parempoolne,40%,Pigem ei,50%,Ma ei tea,50%
